tanggal,kecamatan,volume_ton,jenis_sampah,sumber_sampah
2024-01-02,CIRACAS,179.7,Residu,Pasar
2024-01-02,DUREN SAWIT,101.54,Anorganik,Rumah Tangga
2024-01-02,GAMBIR,107.48,Residu,Komersial
2024-01-02,GROGOL PETAMBURAN,190.44,Residu,Industri Kecil
2024-01-02,JAGAKARSA,80.83,B3,Taman Kota
2024-01-02,JATINEGARA,56.25,Organik,Pasar
2024-01-02,JOHAR BARU,113.81,Residu,Industri Kecil
2024-01-02,KALIDERES,85.65,Residu,Industri Kecil
2024-01-02,KEBAYORAN BARU,159.41,Residu,Komersial
2024-01-02,KEBAYORAN LAMA,171.5,Residu,Taman Kota
2024-01-02,KEBON JERUK,192.35,Organik,Komersial
2024-01-02,KELAPA GADING,137.01,Organik,Pasar
2024-01-02,KEMAYORAN,209.35,Anorganik,Taman Kota
2024-01-02,KEMBANGAN,56.64,B3,Pasar
2024-01-02,KEPULAUAN SERIBU SELATAN,99.51,Anorganik,Pasar
2024-01-02,KEPULAUAN SERIBU UTARA,73.37,Residu,Komersial
2024-01-02,KOJA,79.0,Anorganik,Pasar
2024-01-02,KRAMATJATI,36.31,Organik,Taman Kota
2024-01-02,MAKASAR,142.48,Anorganik,Pasar
2024-01-02,MAMPANG PRAPATAN,28.45,Organik,Taman Kota
2024-01-02,MATRAMAN,108.65,Organik,Industri Kecil
2024-01-02,MENTENG,19.95,Organik,Rumah Tangga
2024-01-02,PADEMANGAN,174.76,B3,Industri Kecil
2024-01-02,PAL MERAH,123.66,B3,Pasar
2024-01-02,PANCORAN,74.98,Organik,Komersial
2024-01-02,PASAR MINGGU,188.06,B3,Rumah Tangga
2024-01-02,PASAR REBO,158.64,Residu,Pasar
2024-01-02,PENJARINGAN,89.09,Anorganik,Komersial
2024-01-02,PESANGGRAHAN,71.76,Organik,Rumah Tangga
2024-01-02,PULOGADUNG,92.97,B3,Rumah Tangga
2024-01-02,SAWAH BESAR,133.32,Organik,Rumah Tangga
2024-01-02,SENEN,56.64,Residu,Industri Kecil
2024-01-02,SETIABUDI,48.28,B3,Rumah Tangga
2024-01-02,TAMAN SARI,75.12,B3,Industri Kecil
2024-01-02,TAMBORA,225.89,Anorganik,Rumah Tangga
2024-01-02,TANAH ABANG,54.63,Anorganik,Komersial
2024-01-02,TANJUNG PRIOK,163.17,Anorganik,Rumah Tangga
2024-01-02,TEBET,130.72,B3,Rumah Tangga
2024-01-03,CAKUNG,106.96,Organik,Komersial
2024-01-03,CEMPAKA PUTIH,23.37,Anorganik,Taman Kota
2024-01-03,CENGKARENG,131.87,Anorganik,Pasar
2024-01-03,CILANDAK,156.07,Anorganik,Pasar
2024-01-03,CILINCING,104.23,Residu,Pasar
2024-01-03,CIPAYUNG,232.09,B3,Pasar
2024-01-03,CIRACAS,206.05,B3,Komersial
2024-01-03,DUREN SAWIT,95.56,Organik,Industri Kecil
2024-01-03,GAMBIR,107.43,Anorganik,Taman Kota
2024-01-03,GROGOL PETAMBURAN,148.08,Organik,Komersial
2024-01-03,JAGAKARSA,104.39,Residu,Rumah Tangga
2024-01-03,JATINEGARA,90.62,Anorganik,Komersial
2024-01-03,JOHAR BARU,149.66,B3,Taman Kota
2024-01-03,KALIDERES,83.1,Organik,Taman Kota
2024-01-03,KEBAYORAN BARU,169.77,Organik,Industri Kecil
2024-01-03,KEBAYORAN LAMA,122.54,Organik,Pasar
2024-01-03,KEBON JERUK,99.61,Anorganik,Rumah Tangga
2024-01-03,KELAPA GADING,153.37,Organik,Industri Kecil
2024-01-03,KEMAYORAN,147.25,Residu,Komersial
2024-01-03,KEMBANGAN,50.4,B3,Rumah Tangga
2024-01-03,KEPULAUAN SERIBU SELATAN,147.46,Anorganik,Komersial
2024-01-03,KEPULAUAN SERIBU UTARA,102.6,Anorganik,Taman Kota
2024-01-03,KOJA,73.1,B3,Komersial
2024-01-03,KRAMATJATI,41.39,B3,Industri Kecil
2024-01-03,MAKASAR,138.43,B3,Taman Kota
2024-01-03,MAMPANG PRAPATAN,40.98,Residu,Industri Kecil
2024-01-03,MATRAMAN,90.84,Anorganik,Komersial
2024-01-03,MENTENG,22.4,Residu,Rumah Tangga
2024-01-03,PADEMANGAN,147.87,Anorganik,Pasar
2024-01-03,PAL MERAH,80.93,Residu,Komersial
2024-01-03,PANCORAN,93.46,B3,Rumah Tangga
2024-01-03,PASAR MINGGU,156.29,Anorganik,Pasar
2024-01-03,PASAR REBO,117.98,Residu,Rumah Tangga
2024-01-03,PENJARINGAN,106.97,Anorganik,Pasar
2024-01-03,PESANGGRAHAN,83.27,Anorganik,Industri Kecil
2024-01-03,PULOGADUNG,78.01,Anorganik,Rumah Tangga
2024-01-03,SAWAH BESAR,159.24,Residu,Rumah Tangga
2024-01-03,SENEN,45.49,Anorganik,Pasar
2024-01-03,SETIABUDI,48.17,B3,Pasar
2024-01-03,TAMAN SARI,103.99,Organik,Komersial
2024-01-03,TAMBORA,190.19,Residu,Industri Kecil
2024-01-03,TANAH ABANG,65.46,Organik,Pasar
2024-01-03,TANJUNG PRIOK,167.81,B3,Industri Kecil
2024-01-03,TEBET,181.73,Organik,Rumah Tangga
2024-01-04,CAKUNG,124.34,B3,Pasar
2024-01-04,CEMPAKA PUTIH,36.07,Anorganik,Rumah Tangga
2024-01-04,CENGKARENG,160.44,B3,Taman Kota
2024-01-04,CILANDAK,169.56,B3,Pasar
2024-01-04,CILINCING,157.96,B3,Komersial
2024-01-04,CIPAYUNG,146.73,B3,Taman Kota
2024-01-04,CIRACAS,163.47,Organik,Komersial
2024-01-04,DUREN SAWIT,124.58,Anorganik,Pasar
2024-01-04,GAMBIR,98.59,Organik,Industri Kecil
2024-01-04,GROGOL PETAMBURAN,147.31,Organik,Pasar
2024-01-04,JAGAKARSA,113.64,B3,Taman Kota
2024-01-04,JATINEGARA,77.79,Anorganik,Rumah Tangga
2024-01-04,JOHAR BARU,145.33,Organik,Komersial
2024-01-04,KALIDERES,81.42,Residu,Pasar
2024-01-04,KEBAYORAN BARU,189.69,B3,Industri Kecil
2024-01-04,KEBAYORAN LAMA,111.42,Organik,Komersial
2024-01-04,KEBON JERUK,110.68,Residu,Komersial
2024-01-04,KELAPA GADING,121.86,Anorganik,Komersial
2024-01-04,KEMAYORAN,136.34,Organik,Industri Kecil
2024-01-04,KEMBANGAN,64.98,Residu,Komersial
2024-01-04,KEPULAUAN SERIBU SELATAN,112.04,B3,Rumah Tangga
2024-01-04,KEPULAUAN SERIBU UTARA,72.6,Anorganik,Komersial
2024-01-04,KOJA,56.31,Residu,Taman Kota
2024-01-04,KRAMATJATI,47.72,B3,Taman Kota
2024-01-04,MAKASAR,168.87,B3,Pasar
2024-01-04,MAMPANG PRAPATAN,46.69,Residu,Taman Kota
2024-01-04,MATRAMAN,80.03,B3,Industri Kecil
2024-01-04,MENTENG,19.2,Anorganik,Pasar
2024-01-04,PADEMANGAN,131.06,Anorganik,Rumah Tangga
2024-01-04,PAL MERAH,72.99,B3,Pasar
2024-01-04,PANCORAN,94.97,Residu,Komersial
2024-01-04,PASAR MINGGU,201.04,Organik,Komersial
2024-01-04,PASAR REBO,131.38,Anorganik,Rumah Tangga
2024-01-04,PENJARINGAN,81.91,B3,Taman Kota
2024-01-04,PESANGGRAHAN,76.23,B3,Komersial
2024-01-04,PULOGADUNG,68.86,Residu,Komersial
2024-01-04,SAWAH BESAR,137.29,Residu,Komersial
2024-01-04,SENEN,108.73,Residu,Rumah Tangga
2024-01-04,SETIABUDI,53.21,Anorganik,Pasar
2024-01-04,TAMAN SARI,60.45,B3,Pasar
2024-01-04,TAMBORA,144.03,B3,Taman Kota
2024-01-04,TANAH ABANG,39.35,Anorganik,Industri Kecil
2024-01-04,TANJUNG PRIOK,159.17,B3,Komersial
2024-01-04,TEBET,210.55,Organik,Industri Kecil
2024-01-05,CAKUNG,136.52,Organik,Industri Kecil
2024-01-05,CEMPAKA PUTIH,28.63,Anorganik,Taman Kota
2024-01-05,CENGKARENG,188.92,B3,Industri Kecil
2024-01-05,CILANDAK,223.19,Anorganik,Pasar
2024-01-05,CILINCING,101.79,B3,Rumah Tangga
2024-01-05,CIPAYUNG,231.7,B3,Rumah Tangga
2024-01-05,CIRACAS,215.51,Residu,Industri Kecil
2024-01-05,DUREN SAWIT,95.57,Anorganik,Komersial
2024-01-05,GAMBIR,80.38,B3,Industri Kecil
2024-01-05,GROGOL PETAMBURAN,130.73,Residu,Pasar
2024-01-05,JAGAKARSA,128.14,Anorganik,Komersial
2024-01-05,JATINEGARA,96.58,Residu,Pasar
2024-01-05,JOHAR BARU,115.96,B3,Pasar
2024-01-05,KALIDERES,53.48,Anorganik,Industri Kecil
2024-01-05,KEBAYORAN BARU,144.05,B3,Pasar
2024-01-05,KEBAYORAN LAMA,114.51,Organik,Rumah Tangga
2024-01-05,KEBON JERUK,118.5,Anorganik,Industri Kecil
2024-01-05,KELAPA GADING,168.82,B3,Pasar
2024-01-05,KEMAYORAN,209.62,Residu,Pasar
2024-01-05,KEMBANGAN,41.48,B3,Rumah Tangga
2024-01-05,KEPULAUAN SERIBU SELATAN,154.84,Anorganik,Rumah Tangga
2024-01-05,KEPULAUAN SERIBU UTARA,84.38,Residu,Pasar
2024-01-05,KOJA,108.36,Residu,Pasar
2024-01-05,KRAMATJATI,63.65,B3,Pasar
2024-01-05,MAKASAR,143.59,Residu,Taman Kota
2024-01-05,MAMPANG PRAPATAN,87.81,Anorganik,Industri Kecil
2024-01-05,MATRAMAN,127.87,Residu,Komersial
2024-01-05,MENTENG,32.38,Anorganik,Rumah Tangga
2024-01-05,PADEMANGAN,143.94,B3,Komersial
2024-01-05,PAL MERAH,97.63,Residu,Rumah Tangga
2024-01-05,PANCORAN,96.24,Residu,Rumah Tangga
2024-01-05,PASAR MINGGU,151.87,B3,Pasar
2024-01-05,PASAR REBO,190.78,Organik,Pasar
2024-01-05,PENJARINGAN,114.03,Residu,Taman Kota
2024-01-05,PESANGGRAHAN,76.13,Anorganik,Taman Kota
2024-01-05,PULOGADUNG,87.82,Organik,Taman Kota
2024-01-05,SAWAH BESAR,185.91,Anorganik,Komersial
2024-01-05,SENEN,74.17,Anorganik,Rumah Tangga
2024-01-05,SETIABUDI,55.0,Organik,Industri Kecil
2024-01-05,TAMAN SARI,71.34,B3,Taman Kota
2024-01-05,TAMBORA,231.04,Anorganik,Rumah Tangga
2024-01-05,TANAH ABANG,45.49,Residu,Taman Kota
2024-01-05,TANJUNG PRIOK,162.07,Anorganik,Komersial
2024-01-05,TEBET,203.95,Anorganik,Pasar
2024-01-06,CAKUNG,168.79,Organik,Komersial
2024-01-06,CEMPAKA PUTIH,27.53,Residu,Taman Kota
2024-01-06,CENGKARENG,213.4,Organik,Komersial
2024-01-06,CILANDAK,143.62,Residu,Komersial
2024-01-06,CILINCING,167.99,Anorganik,Rumah Tangga
2024-01-06,CIPAYUNG,219.05,Residu,Industri Kecil
2024-01-06,CIRACAS,268.44,Residu,Rumah Tangga
2024-01-06,DUREN SAWIT,147.4,Residu,Komersial
2024-01-06,GAMBIR,87.79,Residu,Pasar
2024-01-06,GROGOL PETAMBURAN,197.35,Residu,Pasar
2024-01-06,JAGAKARSA,104.03,Organik,Pasar
2024-01-06,JATINEGARA,71.14,Anorganik,Taman Kota
2024-01-06,JOHAR BARU,101.54,Organik,Pasar
2024-01-06,KALIDERES,88.93,Organik,Taman Kota
2024-01-06,KEBAYORAN BARU,170.56,Anorganik,Pasar
2024-01-06,KEBAYORAN LAMA,168.82,Organik,Taman Kota
2024-01-06,KEBON JERUK,75.29,Anorganik,Industri Kecil
2024-01-06,KELAPA GADING,162.02,Anorganik,Taman Kota
2024-01-06,KEMAYORAN,250.65,Anorganik,Pasar
2024-01-06,KEMBANGAN,81.3,Residu,Taman Kota
2024-01-06,KEPULAUAN SERIBU SELATAN,148.59,Residu,Rumah Tangga
2024-01-06,KEPULAUAN SERIBU UTARA,102.72,Organik,Rumah Tangga
2024-01-06,KOJA,104.24,B3,Komersial
2024-01-06,KRAMATJATI,41.79,Residu,Taman Kota
2024-01-06,MAKASAR,232.72,Organik,Taman Kota
2024-01-06,MAMPANG PRAPATAN,41.36,Anorganik,Taman Kota
2024-01-06,MATRAMAN,97.31,Residu,Taman Kota
2024-01-06,MENTENG,30.31,Residu,Rumah Tangga
2024-01-06,PADEMANGAN,179.31,Anorganik,Komersial
2024-01-06,PAL MERAH,131.81,Organik,Rumah Tangga
2024-01-06,PANCORAN,183.7,Residu,Pasar
2024-01-06,PASAR MINGGU,262.4,Anorganik,Komersial
2024-01-06,PASAR REBO,217.03,B3,Pasar
2024-01-06,PENJARINGAN,148.55,Anorganik,Industri Kecil
2024-01-06,PESANGGRAHAN,101.2,Anorganik,Komersial
2024-01-06,PULOGADUNG,126.29,B3,Komersial
2024-01-06,SAWAH BESAR,321.45,Residu,Rumah Tangga
2024-01-06,SENEN,68.53,Organik,Industri Kecil
2024-01-06,SETIABUDI,57.82,B3,Komersial
2024-01-06,TAMAN SARI,113.15,Organik,Industri Kecil
2024-01-06,TAMBORA,144.53,Organik,Industri Kecil
2024-01-06,TANAH ABANG,43.79,Anorganik,Taman Kota
2024-01-06,TANJUNG PRIOK,156.48,B3,Pasar
2024-01-06,TEBET,140.91,B3,Taman Kota
2024-01-07,CAKUNG,79.78,Organik,Rumah Tangga
2024-01-07,CEMPAKA PUTIH,16.78,Organik,Industri Kecil
2024-01-07,CENGKARENG,83.42,Anorganik,Pasar
2024-01-07,CILANDAK,138.44,Residu,Komersial
2024-01-07,CILINCING,60.46,Residu,Taman Kota
2024-01-07,CIPAYUNG,140.44,Anorganik,Industri Kecil
2024-01-07,CIRACAS,111.26,Anorganik,Komersial
2024-01-07,DUREN SAWIT,85.89,Anorganik,Pasar
2024-01-07,GAMBIR,68.9,B3,Rumah Tangga
2024-01-07,GROGOL PETAMBURAN,83.14,Organik,Komersial
2024-01-07,JAGAKARSA,56.94,Organik,Pasar
2024-01-07,JATINEGARA,56.86,B3,Taman Kota
2024-01-07,JOHAR BARU,94.99,Residu,Pasar
2024-01-07,KALIDERES,55.96,Organik,Komersial
2024-01-07,KEBAYORAN BARU,114.13,B3,Taman Kota
2024-01-07,KEBAYORAN LAMA,75.04,Organik,Industri Kecil
2024-01-07,KEBON JERUK,44.12,Organik,Komersial
2024-01-07,KELAPA GADING,64.26,B3,Komersial
2024-01-07,KEMAYORAN,98.9,Anorganik,Komersial
2024-01-07,KEMBANGAN,41.13,Anorganik,Pasar
2024-01-07,KEPULAUAN SERIBU SELATAN,52.42,Anorganik,Industri Kecil
2024-01-07,KEPULAUAN SERIBU UTARA,44.29,Organik,Rumah Tangga
2024-01-07,KOJA,55.21,Residu,Industri Kecil
2024-01-07,KRAMATJATI,20.92,Organik,Pasar
2024-01-07,MAKASAR,85.52,B3,Industri Kecil
2024-01-07,MAMPANG PRAPATAN,21.99,Organik,Rumah Tangga
2024-01-07,MATRAMAN,50.91,Organik,Komersial
2024-01-07,MENTENG,19.0,Organik,Pasar
2024-01-07,PADEMANGAN,92.05,Residu,Rumah Tangga
2024-01-07,PAL MERAH,55.23,Anorganik,Taman Kota
2024-01-07,PANCORAN,49.92,Anorganik,Industri Kecil
2024-01-07,PASAR MINGGU,121.4,Organik,Industri Kecil
2024-01-07,PASAR REBO,65.31,Organik,Komersial
2024-01-07,PENJARINGAN,85.72,B3,Komersial
2024-01-07,PESANGGRAHAN,59.22,Organik,Komersial
2024-01-07,PULOGADUNG,42.35,Anorganik,Taman Kota
2024-01-07,SAWAH BESAR,100.98,B3,Komersial
2024-01-07,SENEN,32.35,Organik,Taman Kota
2024-01-07,SETIABUDI,32.25,Organik,Taman Kota
2024-01-07,TAMAN SARI,39.2,Organik,Komersial
2024-01-07,TAMBORA,139.69,Anorganik,Taman Kota
2024-01-07,TANAH ABANG,37.5,Anorganik,Komersial
2024-01-07,TANJUNG PRIOK,64.06,Anorganik,Industri Kecil
2024-01-07,TEBET,97.5,Organik,Industri Kecil
2024-01-08,CAKUNG,157.66,Organik,Industri Kecil
2024-01-08,CEMPAKA PUTIH,40.99,Residu,Komersial
2024-01-08,CENGKARENG,226.73,Organik,Komersial
2024-01-08,CILANDAK,220.22,B3,Pasar
2024-01-08,CILINCING,185.89,Organik,Rumah Tangga
2024-01-08,CIPAYUNG,515.52,Anorganik,Pasar
2024-01-08,CIRACAS,222.86,Anorganik,Komersial
2024-01-08,DUREN SAWIT,226.94,Anorganik,Taman Kota
2024-01-08,GAMBIR,118.3,Residu,Rumah Tangga
2024-01-08,GROGOL PETAMBURAN,184.41,Anorganik,Pasar
2024-01-08,JAGAKARSA,142.65,Organik,Komersial
2024-01-08,JATINEGARA,141.36,Organik,Industri Kecil
2024-01-08,JOHAR BARU,231.99,Anorganik,Industri Kecil
2024-01-08,KALIDERES,80.77,Residu,Komersial
2024-01-08,KEBAYORAN BARU,332.14,Organik,Rumah Tangga
2024-01-08,KEBAYORAN LAMA,239.82,Organik,Komersial
2024-01-08,KEBON JERUK,169.64,Organik,Industri Kecil
2024-01-08,KELAPA GADING,227.63,Anorganik,Rumah Tangga
2024-01-08,KEMAYORAN,201.71,Anorganik,Pasar
2024-01-08,KEMBANGAN,60.17,B3,Komersial
2024-01-08,KEPULAUAN SERIBU SELATAN,219.49,Residu,Pasar
2024-01-08,KEPULAUAN SERIBU UTARA,127.96,Residu,Rumah Tangga
2024-01-08,KOJA,132.06,Residu,Industri Kecil
2024-01-08,KRAMATJATI,78.64,B3,Taman Kota
2024-01-08,MAKASAR,369.11,Organik,Taman Kota
2024-01-08,MAMPANG PRAPATAN,49.23,Organik,Rumah Tangga
2024-01-08,MATRAMAN,118.66,Anorganik,Pasar
2024-01-08,MENTENG,30.82,Anorganik,Komersial
2024-01-08,PADEMANGAN,215.84,B3,Industri Kecil
2024-01-08,PAL MERAH,134.18,Anorganik,Taman Kota
2024-01-08,PANCORAN,147.99,Residu,Rumah Tangga
2024-01-08,PASAR MINGGU,262.42,Organik,Pasar
2024-01-08,PASAR REBO,165.88,Organik,Industri Kecil
2024-01-08,PENJARINGAN,209.34,Organik,Pasar
2024-01-08,PESANGGRAHAN,145.46,Organik,Industri Kecil
2024-01-08,PULOGADUNG,99.82,Anorganik,Komersial
2024-01-08,SAWAH BESAR,180.12,Organik,Rumah Tangga
2024-01-08,SENEN,88.7,Residu,Komersial
2024-01-08,SETIABUDI,83.58,Organik,Rumah Tangga
2024-01-08,TAMAN SARI,92.88,Residu,Industri Kecil
2024-01-08,TAMBORA,222.05,Organik,Komersial
2024-01-08,TANAH ABANG,66.28,Organik,Pasar
2024-01-08,TANJUNG PRIOK,164.58,Anorganik,Industri Kecil
2024-01-08,TEBET,312.0,Anorganik,Komersial
2024-01-09,CAKUNG,135.75,B3,Industri Kecil
2024-01-09,CEMPAKA PUTIH,25.15,B3,Taman Kota
2024-01-09,CENGKARENG,211.87,Residu,Pasar
2024-01-09,CILANDAK,155.97,B3,Komersial
2024-01-09,CILINCING,150.19,Organik,Taman Kota
2024-01-09,CIPAYUNG,247.39,B3,Taman Kota
2024-01-09,CIRACAS,182.5,B3,Pasar
2024-01-09,DUREN SAWIT,105.91,Anorganik,Pasar
2024-01-09,GAMBIR,122.53,Organik,Pasar
2024-01-09,GROGOL PETAMBURAN,119.23,B3,Rumah Tangga
2024-01-09,JAGAKARSA,94.7,B3,Rumah Tangga
2024-01-09,JATINEGARA,96.38,Organik,Komersial
2024-01-09,JOHAR BARU,164.46,B3,Taman Kota
2024-01-09,KALIDERES,93.98,Anorganik,Taman Kota
2024-01-09,KEBAYORAN BARU,243.04,Residu,Industri Kecil
2024-01-09,KEBAYORAN LAMA,180.7,Residu,Taman Kota
2024-01-09,KEBON JERUK,85.62,Residu,Taman Kota
2024-01-09,KELAPA GADING,132.55,B3,Komersial
2024-01-09,KEMAYORAN,147.88,Organik,Komersial
2024-01-09,KEMBANGAN,72.38,Anorganik,Pasar
2024-01-09,KEPULAUAN SERIBU SELATAN,142.7,B3,Taman Kota
2024-01-09,KEPULAUAN SERIBU UTARA,125.71,B3,Taman Kota
2024-01-09,KOJA,65.46,Residu,Komersial
2024-01-09,KRAMATJATI,47.98,Organik,Pasar
2024-01-09,MAKASAR,196.74,Anorganik,Taman Kota
2024-01-09,MAMPANG PRAPATAN,36.84,Organik,Komersial
2024-01-09,MATRAMAN,86.67,Organik,Taman Kota
2024-01-09,MENTENG,27.31,Residu,Industri Kecil
2024-01-09,PADEMANGAN,175.57,B3,Industri Kecil
2024-01-09,PAL MERAH,89.65,Residu,Komersial
2024-01-09,PANCORAN,110.21,Anorganik,Industri Kecil
2024-01-09,PASAR MINGGU,189.4,B3,Industri Kecil
2024-01-09,PASAR REBO,201.65,B3,Taman Kota
2024-01-09,PENJARINGAN,129.02,Organik,Industri Kecil
2024-01-09,PESANGGRAHAN,81.98,Residu,Komersial
2024-01-09,PULOGADUNG,73.92,B3,Taman Kota
2024-01-09,SAWAH BESAR,144.57,Organik,Industri Kecil
2024-01-09,SENEN,71.91,Residu,Rumah Tangga
2024-01-09,SETIABUDI,58.94,Residu,Rumah Tangga
2024-01-09,TAMAN SARI,103.48,Anorganik,Taman Kota
2024-01-09,TAMBORA,248.34,Anorganik,Pasar
2024-01-09,TANAH ABANG,52.32,Anorganik,Taman Kota
2024-01-09,TANJUNG PRIOK,168.89,Residu,Rumah Tangga
2024-01-09,TEBET,233.39,Residu,Komersial
2024-01-10,CAKUNG,162.25,Anorganik,Industri Kecil
2024-01-10,CEMPAKA PUTIH,31.04,Organik,Komersial
2024-01-10,CENGKARENG,125.21,Organik,Industri Kecil
2024-01-10,CILANDAK,211.95,B3,Pasar
2024-01-10,CILINCING,91.68,Organik,Komersial
2024-01-10,CIPAYUNG,132.35,Anorganik,Pasar
2024-01-10,CIRACAS,222.81,Residu,Pasar
2024-01-10,DUREN SAWIT,109.91,Anorganik,Industri Kecil
2024-01-10,GAMBIR,120.35,Organik,Rumah Tangga
2024-01-10,GROGOL PETAMBURAN,97.05,Anorganik,Pasar
2024-01-10,JAGAKARSA,106.22,B3,Industri Kecil
2024-01-10,JATINEGARA,67.48,B3,Industri Kecil
2024-01-10,JOHAR BARU,225.39,B3,Taman Kota
2024-01-10,KALIDERES,78.48,Residu,Rumah Tangga
2024-01-10,KEBAYORAN BARU,184.52,Anorganik,Taman Kota
2024-01-10,KEBAYORAN LAMA,145.53,Residu,Pasar
2024-01-10,KEBON JERUK,105.5,Residu,Rumah Tangga
2024-01-10,KELAPA GADING,147.25,Organik,Rumah Tangga
2024-01-10,KEMAYORAN,131.41,Organik,Pasar
2024-01-10,KEMBANGAN,48.66,Organik,Rumah Tangga
2024-01-10,KEPULAUAN SERIBU SELATAN,173.93,Organik,Komersial
2024-01-10,KEPULAUAN SERIBU UTARA,67.69,B3,Rumah Tangga
2024-01-10,KOJA,89.45,Anorganik,Rumah Tangga
2024-01-10,KRAMATJATI,31.84,B3,Pasar
2024-01-10,MAKASAR,151.5,Anorganik,Komersial
2024-01-10,MAMPANG PRAPATAN,41.43,B3,Industri Kecil
2024-01-10,MATRAMAN,113.32,Anorganik,Pasar
2024-01-10,MENTENG,24.49,B3,Taman Kota
2024-01-10,PADEMANGAN,161.72,Organik,Pasar
2024-01-10,PAL MERAH,96.09,Anorganik,Taman Kota
2024-01-10,PANCORAN,66.42,B3,Komersial
2024-01-10,PASAR MINGGU,138.4,B3,Komersial
2024-01-10,PASAR REBO,169.35,Anorganik,Industri Kecil
2024-01-10,PENJARINGAN,94.38,Residu,Pasar
2024-01-10,PESANGGRAHAN,72.95,Organik,Taman Kota
2024-01-10,PULOGADUNG,94.67,B3,Rumah Tangga
2024-01-10,SAWAH BESAR,146.74,B3,Industri Kecil
2024-01-10,SENEN,59.21,Residu,Rumah Tangga
2024-01-10,SETIABUDI,33.25,Organik,Industri Kecil
2024-01-10,TAMAN SARI,62.76,Organik,Rumah Tangga
2024-01-10,TAMBORA,129.85,Residu,Komersial
2024-01-10,TANAH ABANG,40.17,Anorganik,Rumah Tangga
2024-01-10,TANJUNG PRIOK,110.25,Organik,Industri Kecil
2024-01-10,TEBET,202.38,Residu,Rumah Tangga
2024-01-11,CAKUNG,118.06,Residu,Komersial
2024-01-11,CEMPAKA PUTIH,23.52,B3,Taman Kota
2024-01-11,CENGKARENG,127.83,Residu,Pasar
2024-01-11,CILANDAK,125.32,Anorganik,Industri Kecil
2024-01-11,CILINCING,127.5,Anorganik,Taman Kota
2024-01-11,CIPAYUNG,169.44,Anorganik,Komersial
2024-01-11,CIRACAS,133.91,B3,Taman Kota
2024-01-11,DUREN SAWIT,187.67,Residu,Komersial
